,regressor,utility_function,trial,iteration,candidates_value,target_value,uq_correction,mae,r2,mse,mape,rmse,scc,mis_area,ence,cv,oc
0,XGBOOST,EI,0,0,[0.2615947376884624],8.460034306352648,recalibration,6.434257385025212,-107.5840034747595,46.422542753139744,3.4976751744779446,6.81340904049799,-0.19124437867201516,0.15083402170920107,1.7419355711278206,0.2452131,8.198439568664186
1,XGBOOST,EI,0,1,[1.0331844837015263],8.460034306352648,recalibration,6.599640169980854,-164.4466821861844,48.40498868109078,3.3532461155475963,6.957369379376861,-0.4787278640305927,0.1767459385823805,1.9910983631771972,0.25254497,7.426849822651122
2,XGBOOST,EI,0,2,[8.460034306352648],8.460034306352648,recalibration,6.266842278027442,-65.235829685743,44.45420306008287,4.207820527522828,6.667398522668558,-0.5650962931082769,0.1361607466342043,1.9572040932269203,0.29317364,0.0
3,XGBOOST,EI,0,3,[5.221868194384631],8.460034306352648,recalibration,5.921288269824047,-24.19618524875305,41.32540789391784,3.849063165116697,6.4284841054417985,-0.7649775146880606,0.11547670672318817,1.9073285843648042,0.4155745,0.0
4,XGBOOST,EI,0,4,[2.037316615509543],8.460034306352648,recalibration,5.817406535565059,-25.575903241382534,39.78674626025914,3.9698511684968425,6.3076736012779815,-0.7230271348503282,0.13002503727459422,2.0751044590949657,0.37477818,0.0
5,XGBOOST,EI,0,5,[6.620073206530356],8.460034306352648,recalibration,5.863245021310881,-23.777331272015243,40.43409506520008,3.799328030590801,6.358780941752914,-0.6539323915881808,0.14787038244714001,1.9569263041965916,0.32360572,0.0
6,XGBOOST,EI,0,6,[4.999439522009694],8.460034306352648,recalibration,5.669949370688458,-13.850307406258478,38.93743860973036,3.7631509216596033,6.239987068073968,-0.7460067797338995,0.13201216315403166,2.1229283255659177,0.39475915,0.0
7,XGBOOST,EI,0,7,[1.930071085170705],8.460034306352648,recalibration,5.331375828977099,-10.32017279564916,35.25174807407623,4.670315931113335,5.937318256088032,-0.7953295420303556,0.3553178847296494,4.122372443802684,0.21334721,0.0
8,XGBOOST,EI,0,8,[3.353756307411547],8.460034306352648,recalibration,5.394071093793383,-10.921867260322855,35.901943286439774,4.401062884276475,5.991823035307349,-0.778066575226596,0.38086749851455737,4.289089525162379,0.19416821,0.0
9,XGBOOST,EI,0,9,[-0.478035802555903],8.460034306352648,recalibration,5.102097599361832,-8.809886444548429,32.807175609069404,5.2268248529023635,5.7277548488975505,-0.49692683013679584,0.3666072489601902,3.8902754480528015,0.11629995,0.0
10,XGBOOST,EI,0,10,[5.135798436462027],8.460034306352648,recalibration,4.5270013179359445,-32.64106622312433,24.98998637997513,44.302755041076836,4.99899853770484,-0.3716957563411225,0.1829050910829964,1.4809965259594453,0.10777004,0.0
11,XGBOOST,EI,0,11,[4.700480365792417],8.460034306352648,recalibration,2.4347872510334105,-0.7570729859224679,8.015569662313263,1.2451730583455263,2.831178140335444,0.48924631764957816,0.16339869281045757,0.7998949872812405,0.27099064,0.0
12,XGBOOST,EI,0,12,[5.719655824468659],8.460034306352648,recalibration,1.8121987865177196,0.07103501090030051,5.288639200506049,0.8410624187543784,2.2997041549960398,0.3188228680186835,0.11992530589036628,0.8462685253994918,0.19879512,0.0
13,XGBOOST,EI,0,13,[3.6243409335096985],8.460034306352648,recalibration,1.597894215614572,0.3540152980288592,4.276033853485626,0.7834898797602435,2.0678573097497868,0.13366035620783268,0.1394675082328049,0.8223959477647145,0.17377616,0.0
14,XGBOOST,EI,0,14,[4.1588830833596715],8.460034306352648,recalibration,1.610518635401923,0.3550949889487641,4.225524550411545,0.8054471849917659,2.0556080731529405,0.31023917541818047,0.16579884421052454,0.7458012309876872,0.20026594,0.0
15,XGBOOST,EI,0,15,[7.824046011656292],8.460034306352648,recalibration,1.5011036444760646,0.44642366179402493,3.73789282277993,0.7592646548862465,1.9333630861221929,0.3629675728212704,0.17619268045464348,0.6403096245284976,0.29057434,0.0
16,XGBOOST,EI,0,16,[6.461468176353717],8.460034306352648,recalibration,1.3240018402587534,0.7362157375042406,2.2728421333929925,1.2482910440673056,1.507594817380649,0.3921568627450981,0.19786096256684496,0.2513208312298929,0.27090847,0.0
17,XGBOOST,EI,0,17,[5.288267030189485],8.460034306352648,recalibration,1.218549803006706,0.7734996862197019,1.9978017603943297,31.624690584400668,1.4134361536321085,0.11274509803921569,0.19824883999075918,0.3046940209976757,0.31415582,0.0
18,XGBOOST,EI,0,18,[5.393627546806907],8.460034306352648,recalibration,1.1321450716543338,0.8051962133088465,1.721370792671467,0.6975324510568983,1.3120102105820164,-0.03921568627450981,0.20607458669742407,0.39444065205110007,0.35735306,0.0
19,XGBOOST,EI,0,19,[5.161924741069416],8.460034306352648,recalibration,1.1253506268759477,0.8039503663459546,1.7319604615095805,1.0354211063676764,1.3160396884249277,0.004901960784313726,0.2172625060632488,0.4118228294368186,0.4073958,0.0
20,XGBOOST,EI,0,20,[4.779123492271193],8.460034306352648,recalibration,1.103860942679868,0.8134520555897048,1.6711624788287052,0.7432293061597028,1.2927344966499135,0.03921568627450981,0.20560359268267114,0.39392480595313345,0.4162241,0.0
21,XGBOOST,EI,0,21,[3.449987546466508],8.460034306352648,recalibration,1.0553277668818446,0.8183791800968253,1.6103887149429015,0.9051738284672746,1.2690109199462791,0.17401960784313728,0.2003412468852591,0.35146223291002027,0.4283567,0.0
22,XGBOOST,EI,0,22,[5.638354669689618],8.460034306352648,recalibration,1.0636842613469721,0.8024367022964534,1.702268342078285,0.7234518966479534,1.3047100605415307,0.07598039215686275,0.2024251290012114,0.5512144716307124,0.49637842,0.0
23,XGBOOST,EI,0,23,[4.162003210540152],8.460034306352648,recalibration,1.1703653399313383,0.7853432027746494,1.8475359140843834,0.5966316316304001,1.3592409330521147,-0.03676470588235294,0.2537136066547832,0.6694676677202811,0.50910586,0.0
24,XGBOOST,EI,0,24,[2.7212954278522306],8.460034306352648,recalibration,1.1671374785308144,0.7817335198990247,1.8482763794423793,0.6065425286054565,1.3595132877034999,0.08823529411764706,0.2887700534759358,0.5926698430817816,0.57356906,0.0
25,XGBOOST,EI,0,25,[3.1570004207245814],8.460034306352648,recalibration,1.127560292423179,0.7885097719965486,1.7707755856565734,0.48402906090339987,1.3307049205802814,0.08823529411764706,0.28104575163398693,0.5344588703428985,0.56110716,0.0
26,XGBOOST,EI,0,26,[5.5282379033331654],8.460034306352648,recalibration,1.094191992907538,0.800154456929193,1.682271993389605,0.408528118052902,1.2970242840400503,0.17156862745098042,0.28086119017843214,0.4878801136243559,0.5842541,0.0
27,XGBOOST,EI,0,27,[0.7839015442850304],8.460034306352648,recalibration,1.0528171477707562,0.8186700460425562,1.5364897824748542,0.38270015156431997,1.2395522508046422,0.16666666666666669,0.27153891859774215,0.394163687282326,0.5771265,0.0
28,XGBOOST,EI,0,28,[4.48863636973214],8.460034306352648,recalibration,0.9990735784808195,0.840142125204243,1.3742668266534688,0.3337224923721503,1.1722912721049614,0.17401960784313728,0.2638329450296706,0.3606567809541531,0.55341077,0.0
